ID_REF	M1M	M2M	M3M	E1M	E2M	E3M	M1F	M2F	M3F	E1F	E2F	E3F
FBtr0086127	9.401128472	10.60039642	12.09719848	12.10579605	10.61413283	12.00121722	9.552423377	11.06409341	10.49746198	12.7562435	11.82901683	12.61322272
FBtr0086128	6.795547483	8.192171968	9.914331609	9.627218865	7.75819656	9.231881645	6.591610607	8.560562119	7.824622125	9.942954138	8.968916436	7.724847374
FBtr0086131	9.224305621	10.61781437	12.14223067	12.09272097	10.55501057	11.9306339	9.530285571	11.15191379	10.56480094	12.77441059	11.94377844	12.54961669
FBtr0086133	12.1471368	11.99079536	11.86514792	11.60385182	12.14978528	11.62694766	11.15906048	10.87931835	10.86189195	10.45410205	10.25885136	10.41939331
FBtr0086134	12.56765092	12.1287583	11.97494959	11.76371324	12.47962798	12.00953249	12.63196002	12.26628499	12.30547597	11.7313492	12.17728548	11.19993902
FBtr0086135	12.65771636	12.45541364	11.86217317	12.2565577	12.71311758	12.06960266	13.19417895	13.07144218	13.30748804	13.29403554	13.11142382	13.82158015
FBtr0086136	5.736071748	6.442100849	9.007096806	8.783500526	4.672623345	8.849394466	4.990537417	6.594003555	6.303594464	9.751641798	8.683517159	6.790708189
FBtr0086137	11.68020452	12.34767864	12.68766824	12.39084996	11.95556429	12.73498465	10.85022701	11.15043566	11.14921014	11.8256716	11.53951886	11.02886457
FBtr0086138	6.397773875	5.887427788	5.168670113	5.987520974	6.883613485	5.233370419	9.674479719	9.081720162	8.667134966	8.692070749	7.770611701	7.67840718
FBtr0086139	6.858510715	6.254280347	5.313496197	6.177535148	7.255416699	6.226916927	9.588594156	8.786594728	8.667150226	8.107769458	7.993489824	7.650574303
FBtr0086140	10.45594424	11.38263532	11.61871897	11.7609318	10.38209332	11.99369042	10.23484652	11.12237674	10.86316134	11.96587427	11.4193212	11.21004909
FBtr0086141	12.39397283	12.38922654	12.16929585	12.11970254	12.25913328	12.29363496	12.59298865	12.65866254	12.77926709	12.31284255	12.87813418	11.78675325
FBtr0086142	7.505525765	6.664295096	5.540033471	5.40459322	6.926788177	5.697078766	9.162753845	8.467192652	8.057547207	7.11026405	7.291426746	5.398887313
