FBID	category	updown
FBgn0033788	sperm	down
FBgn0033788	sperm	down
FBgn0033789	sperm	up
FBgn0033797	sperm	down
FBgn0033801	sperm	down
FBgn0033820	sperm	down
FBgn0033826	sperm	down
FBgn0033833	sperm	up
FBgn0033844	sperm	up
FBgn0033876	sperm	up
FBgn0033981	sperm	down
FBgn0033999	sperm	down
FBgn0034003	sperm	down
FBgn0034028	sperm	down
FBgn0034034	sperm	up
FBgn0034050	sperm	up
FBgn0034063	sperm	down
FBgn0034072	sperm	up
FBgn0034140	sperm	down
FBgn0034160	sperm	down
FBgn0034162	sperm	down
FBgn0034166	sperm	up
FBgn0034172	sperm	NA
FBgn0034232	sperm	up
FBgn0034247	sperm	down
FBgn0034268	sperm	up
FBgn0034289	sperm	down
FBgn0034291	sperm	down
FBgn0034339	sperm	down
FBgn0034342	sperm	down
FBgn0034343	sperm	down
FBgn0034407	sperm	NA
FBgn0034434	sperm	down
FBgn0034457	sperm	up
FBgn0034468	sperm	down
FBgn0034497	sperm	down
FBgn0034515	sperm	down
FBgn0034552	sperm	up
FBgn0034613	sperm	up
FBgn0034618	sperm	down
FBgn0034620	sperm	up
FBgn0034627	sperm	up
FBgn0034663	sperm	down
FBgn0034664	sperm	down
FBgn0034718	sperm	up
FBgn0034739	sperm	up
FBgn0034741	sperm	up
FBgn0034819	sperm	up
FBgn0034877	sperm	down
FBgn0034881	sperm	up
FBgn0034898	sperm	up
FBgn0034938	sperm	up
FBgn0034952	sperm	down
FBgn0034958	sperm	down
FBgn0035009	sperm	up
FBgn0035113	sperm	up
FBgn0035160	sperm	up
FBgn0035176	sperm	up
FBgn0035191	sperm	down
FBgn0035206	sperm	up
FBgn0035226	sperm	down
FBgn0035232	sperm	down
FBgn0035234	sperm	up
FBgn0035248	sperm	up
FBgn0035256	sperm	up
FBgn0035289	sperm	up
FBgn0035375	sperm	up
FBgn0035394	sperm	down
FBgn0035404	sperm	down
FBgn0035433	sperm	up
FBgn0035469	sperm	down
FBgn0035527	sperm	down
FBgn0035600	sperm	down
FBgn0035618	sperm	up
FBgn0035621	sperm	up
FBgn0035641	sperm	up
FBgn0035656	sperm	down
FBgn0035661	sperm	down
FBgn0035664	sperm	down
FBgn0035665	sperm	down
FBgn0035670	sperm	down
FBgn0035679	sperm	down
FBgn0035722	sperm	down
FBgn0035726	sperm	down
FBgn0035727	sperm	up
FBgn0035764	sperm	up
FBgn0035849	sperm	down
FBgn0035892	sperm	up
FBgn0035913	sperm	down
FBgn0035925	sperm	down
FBgn0035927	sperm	down
FBgn0036024	sperm	down
FBgn0036100	sperm	down
FBgn0036117	sperm	up
FBgn0036121	sperm	up
FBgn0036201	sperm	up
FBgn0036232	sperm	down
FBgn0036237	sperm	up
FBgn0036259	sperm	up
FBgn0036275	sperm	up
FBgn0036316	sperm	up
FBgn0036318	sperm	down
FBgn0036320	sperm	down
FBgn0036375	sperm	down
FBgn0036381	sperm	down
FBgn0036411	sperm	up
FBgn0036419	sperm	down
FBgn0036433	sperm	down
FBgn0036449	sperm	down
FBgn0036452	sperm	up
FBgn0036454	sperm	down
FBgn0036485	sperm	up
FBgn0036517	sperm	up
FBgn0036549	sperm	NA
FBgn0036564	sperm	up
FBgn0036572	sperm	down
FBgn0036616	sperm	down
FBgn0036642	sperm	down
FBgn0036658	sperm	up
FBgn0036661	sperm	up
FBgn0036663	sperm	down
FBgn0036666	sperm	down
FBgn0036675	sperm	down
FBgn0036681	sperm	up
FBgn0036737	sperm	down
FBgn0036740	sperm	down
FBgn0036749	sperm	up
FBgn0036762	sperm	down
FBgn0036789	sperm	up
FBgn0036834	sperm	down
FBgn0036920	sperm	up
FBgn0036959	sperm	up
FBgn0036981	sperm	up
FBgn0036997	sperm	up
FBgn0037090	sperm	down
FBgn0037117	sperm	up
FBgn0037126	sperm	up
FBgn0037159	sperm	up
FBgn0037184	sperm	up
FBgn0037200	sperm	up
FBgn0037212	sperm	up
FBgn0037228	sperm	down
FBgn0037251	sperm	up
FBgn0037306	sperm	up
FBgn0037323	sperm	up
FBgn0037329	sperm	down
FBgn0037387	sperm	down
FBgn0037439	sperm	up
FBgn0037497	sperm	up
FBgn0037506	sperm	up
FBgn0037510	sperm	up
FBgn0037643	sperm	down
FBgn0037678	sperm	down
FBgn0037699	sperm	down
FBgn0037715	sperm	down
FBgn0037782	sperm	down
FBgn0037788	sperm	down
FBgn0037830	sperm	up
FBgn0037843	sperm	up
FBgn0037854	sperm	up
FBgn0037856	sperm	up
FBgn0037861	sperm	down
FBgn0037890	sperm	up
FBgn0037934	sperm	down
FBgn0037935	sperm	down
FBgn0037957	sperm	up
FBgn0037973	sperm	down
FBgn0037977	sperm	down
FBgn0038034	sperm	down
FBgn0038037	sperm	down
FBgn0038056	sperm	down
FBgn0038074	sperm	up
FBgn0038135	sperm	down
FBgn0038150	sperm	up
FBgn0038178	sperm	up
FBgn0038181	sperm	down
FBgn0038257	sperm	down
FBgn0038292	sperm	down
FBgn0038302	sperm	up
FBgn0038347	sperm	down
FBgn0038362	sperm	up
FBgn0038402	sperm	up
FBgn0038409	sperm	up
FBgn0038466	sperm	down
FBgn0038494	sperm	up
FBgn0038509	sperm	up
FBgn0038570	sperm	down
FBgn0038613	sperm	down
FBgn0038651	sperm	down
FBgn0038680	sperm	down
FBgn0038681	sperm	down
FBgn0038700	sperm	NA
FBgn0038706	sperm	up
FBgn0038733	sperm	down
FBgn0038759	sperm	up
FBgn0038899	sperm	down
FBgn0038914	sperm	up
FBgn0038917	sperm	up
FBgn0038936	sperm	up
FBgn0038948	sperm	up
FBgn0038971	sperm	down
FBgn0038985	sperm	up
FBgn0039082	sperm	down
FBgn0039154	sperm	down
FBgn0039159	sperm	up
FBgn0039176	sperm	up
FBgn0039205	sperm	down
FBgn0039309	sperm	down
FBgn0039313	sperm	down
FBgn0039314	sperm	down
FBgn0039330	sperm	down
FBgn0039341	sperm	up
FBgn0039342	sperm	down
FBgn0039348	sperm	down
FBgn0039399	sperm	up
FBgn0039435	sperm	up
FBgn0039471	sperm	down
FBgn0039474	sperm	down
FBgn0039483	sperm	down
FBgn0039589	sperm	up
FBgn0039613	sperm	down
FBgn0039636	sperm	up
FBgn0039642	sperm	up
FBgn0039688	sperm	up
FBgn0039768	sperm	down
FBgn0039776	sperm	up
FBgn0039866	sperm	up
FBgn0040105	sperm	up
FBgn0040531	sperm	up
FBgn0040540	sperm	down
FBgn0040546	sperm	up
FBgn0040561	sperm	up
FBgn0040609	sperm	up
FBgn0040636	sperm	down
FBgn0040643	sperm	up
FBgn0040705	sperm	down
FBgn0040722	sperm	up
FBgn0040723	sperm	down
FBgn0040739	sperm	up
FBgn0040741	sperm	up
FBgn0040746	sperm	down
FBgn0040793	sperm	down
FBgn0040801	sperm	up
FBgn0040802	sperm	up
FBgn0040872	sperm	up
FBgn0040874	sperm	up
FBgn0040878	sperm	up
FBgn0040887	sperm	down
FBgn0040890	sperm	up
FBgn0040942	sperm	down
FBgn0040948	sperm	up
FBgn0040985	sperm	down
FBgn0041001	sperm	down
FBgn0041002	sperm	up
FBgn0041194	sperm	down
GH01088	sperm	NA
GH17661	sperm	NA
LD22577	sperm	up
LD24696	sperm	up
LD43152	sperm	up
