gene	M1F	M2F	M3F	M1M	M2M	M3M	E1F	E2F	E3F	E1M	E2M	E3M
FBgn0051915	776.00	666.09	712.47	430.45	452.30	484.37	457.81	437.35	449.85	327.32	364.42	400.65
FBgn0085293	2.00	13.93	7.03	10.50	13.11	17.51	183.65	340.31	53.86	86.31	157.59	21.98
FBgn0038395	193.00	273.86	284.76	382.62	369.89	358.32	463.96	542.36	461.82	399.06	423.51	357.69
FBgn0034756	799.00	386.43	636.30	235.64	228.49	197.25	212.65	186.11	137.65	199.53	125.85	122.89
FBgn0261436	3125.00	2594.74	2750.29	2417.07	2576.13	2603.93	1985.02	2067.10	2067.71	1895.52	1972.01	2085.18
FBgn0262169	2298.00	2320.87	2119.84	2317.91	2527.44	2560.74	1625.62	1768.00	1527.10	1761.01	1936.99	1874.36
FBgn0087005	26704.00	28141.74	26935.72	34193.58	36636.14	35437.21	31474.70	33706.30	32290.47	35725.66	34655.78	35294.19
FBgn0038652	3754.00	3057.75	3276.44	3205.65	3130.50	3191.01	2452.49	2422.03	2342.01	3209.27	2793.87	2887.48
FBgn0031694	1237.00	1061.80	1134.33	766.42	741.66	818.18	614.22	404.11	647.35	522.36	411.47	624.45
FBgn0004045	1136746.00	830706.30	915573.05	1565.49	1523.58	1797.42	601796.97	575236.32	502613.32	2129.80	1858.20	2017.24
FBgn0053533	1.00	3.48	4.69	3.50	4.68	4.67	8.79	33.23	30.92	44.84	27.36	18.98
FBgn0029863	1870.00	1657.10	1307.76	716.25	712.63	722.47	1029.85	1050.16	1059.29	621.00	566.87	594.48
FBgn0020372	14097.00	15068.26	14714.69	19294.55	20422.71	21461.68	18040.90	23176.73	21756.39	20564.87	23783.44	22166.65
FBgn0033308	406.00	337.69	404.28	817.74	354.91	700.29	898.05	1532.71	1601.91	151.33	276.87	202.82
FBgn0027497	1892.00	1665.23	1783.53	2124.27	2070.46	1973.66	1394.52	1470.23	1333.59	1707.20	1800.20	1721.50
FBgn0035246	19966.00	21086.28	20735.56	25877.32	26360.64	25882.87	23383.49	24494.09	24875.42	27985.53	30506.02	29724.05
FBgn0033422	139.00	215.84	188.66	438.62	245.35	274.28	447.27	502.48	338.14	506.67	557.02	460.60
FBgn0015010	45.00	48.74	104.29	59.49	176.99	193.75	215.29	360.25	575.53	600.83	757.29	214.81
FBgn0000054	2226.00	2272.13	2234.68	2643.38	2778.40	2764.99	2564.09	2626.74	2804.83	3027.67	2958.02	3032.35
FBgn0030060	2849.00	2244.28	2252.26	1680.98	1906.58	1730.89	1780.28	1532.71	1346.56	1549.15	1602.12	1435.75
FBgn0029791	2076.00	2071.38	2003.83	2005.28	2024.57	2182.58	1702.95	1674.95	1650.78	1576.05	1651.37	1743.48
FBgn0025595	7600.00	7006.71	6618.50	2478.89	2948.83	2596.92	5611.48	4758.97	4653.11	2758.65	2617.68	2661.68
FBgn0032730	412.00	432.84	483.97	493.45	548.75	500.71	586.98	598.20	669.29	659.12	609.55	684.40
FBgn0035922	102.00	148.54	133.59	173.81	197.59	190.25	224.95	207.37	217.44	200.65	256.08	242.79
FBgn0039480	32.00	23.21	29.30	55.99	39.33	65.36	69.42	123.63	112.71	19.06	35.02	14.99
FBgn0030894	1055.00	1107.06	1098.01	1341.52	1312.88	1300.21	1326.86	1276.15	1292.70	1292.45	1257.40	1322.85
FBgn0023549	1493.00	1296.21	1476.51	1006.72	992.62	1064.45	1092.24	1067.45	921.64	978.59	842.65	900.21
FBgn0035499	12428.00	12170.65	11390.20	15217.50	14337.75	14461.07	13749.26	14167.92	14796.18	15217.96	15708.26	15783.22
FBgn0033905	958.00	1014.22	1020.67	984.56	980.45	1001.42	1214.38	1157.84	1293.69	1234.16	1209.25	1244.91
FBgn0015570	6010.00	4400.37	5017.78	1448.84	1459.90	1350.40	3680.06	2973.69	2848.72	1292.45	1201.59	1041.09
FBgn0031925	2218.00	3335.09	4054.54	15392.48	18518.93	23420.17	1806.64	1108.65	1678.71	14126.16	12423.03	13407.30
FBgn0037370	3241.00	1505.09	2217.11	1370.68	1274.49	1208.01	1180.99	1149.86	868.78	1035.75	1107.48	955.17
FBgn0260653	655.00	565.13	630.45	685.92	528.15	818.18	948.13	1127.27	1362.52	341.89	438.83	404.65
FBgn0262848	122.00	97.48	118.35	141.15	102.07	134.22	170.47	247.25	235.40	206.25	267.02	287.75
FBgn0005391	561480.00	350384.39	414483.84	767.58	774.43	873.03	241240.75	259395.98	240946.14	1105.25	965.21	1040.09
FBgn0014342	54.00	49.90	60.94	101.49	70.23	102.71	112.48	99.70	106.73	158.05	120.38	133.88
FBgn0039634	2847.00	2988.12	2976.45	4136.55	3924.60	3976.50	3580.76	3779.26	3478.11	4153.10	4640.03	4128.40
FBgn0035144	763.00	830.87	768.72	806.08	848.41	805.34	985.04	991.67	1006.43	948.32	1083.40	979.15
FBgn0011584	10843.00	10370.82	9887.91	11029.62	10747.46	10846.39	9159.73	9186.95	8977.05	9886.74	10125.99	10004.27
FBgn0004047	1001819.00	622019.27	770488.60	2701.70	2846.76	3052.11	503293.86	427470.18	390875.92	3409.92	3079.49	3139.26
FBgn0004784	31878.00	28038.46	29296.96	35718.24	34725.81	34979.69	36671.43	37746.11	33832.52	39579.47	39826.57	40184.92
FBgn0046875	34.00	37.13	35.15	33.83	35.58	30.35	67.66	63.81	92.76	28.02	33.92	31.97
FBgn0035909	4924.00	4525.70	4458.82	3436.62	3461.06	3621.69	3989.37	3970.69	3742.43	3420.00	3535.83	3495.95
FBgn0044810	395.00	327.24	229.68	1100.05	905.53	1018.93	172.23	175.47	195.50	736.46	779.18	892.22
FBgn0023023	7963.00	8316.85	7865.33	8814.37	8973.85	8922.91	8777.49	8938.36	9230.41	10255.53	10322.97	10311.00
FBgn0039678	18020.00	13777.86	15673.25	9821.09	8877.40	9779.61	9849.52	7928.08	4223.21	5172.04	3934.18	3871.62
FBgn0041713	288.00	288.95	268.35	593.77	545.94	624.43	218.80	196.74	186.52	294.81	280.15	317.72
FBgn0260962	2698.00	2700.33	2619.04	2331.91	2750.31	2308.64	2118.58	1912.89	1737.56	2360.71	2005.94	2020.24
FBgn0010548	10546.00	10934.79	10724.60	14911.86	15589.77	16451.07	9447.95	8701.74	9281.28	13060.14	12528.08	12976.67
FBgn0260746	3936.00	3082.12	2480.77	5488.56	5355.47	5263.88	1672.20	2149.51	1172.00	2259.83	2967.87	2393.91
FBgn0036547	1892.00	1371.64	1454.24	1205.03	1284.79	1289.71	1147.60	1052.82	1074.25	1274.52	1169.86	1243.91
FBgn0259682	15677.00	14008.78	15190.45	5571.39	6435.18	5466.96	12309.04	9248.10	9246.37	6006.03	6032.04	6058.71
FBgn0014454	889.00	577.90	682.01	1648.32	723.86	1477.62	1626.50	2512.42	2884.63	320.59	675.21	420.63
FBgn0051664	914.00	1033.95	585.92	1102.38	1120.91	951.23	355.88	483.87	350.11	1092.92	583.29	803.30
FBgn0027780	795.00	914.42	949.18	935.56	924.26	968.74	1244.26	1180.44	1059.29	1258.82	1278.20	1169.98
FBgn0028473	35561.00	24727.73	25665.45	13699.83	12793.57	13387.29	20810.61	19244.60	17341.67	10170.34	10654.56	10082.20
FBgn0031250	4697.00	3997.70	4290.08	2807.86	2994.72	3005.43	2967.42	2920.52	3518.01	2404.43	2353.94	2873.49
FBgn0034888	848.00	639.40	659.74	450.28	456.98	476.20	515.81	507.80	430.90	409.15	425.70	357.69
FBgn0034761	2605.00	2110.83	2324.91	1823.30	2010.53	2761.49	3474.44	3513.40	4133.43	2263.19	2567.34	2411.89
FBgn0031261	492.00	460.69	414.83	507.44	522.53	626.76	347.97	320.37	300.23	282.48	250.61	282.75
FBgn0037395	1.00	1.16	1.17	1.17	1.87	1.17	14.94	6.65	6.98	7.85	5.47	4.00
FBgn0040600	1957.00	1655.94	1701.50	2147.60	2211.86	2173.25	1465.70	1458.27	1429.35	1739.71	1742.20	1699.52
FBgn0033921	73.00	103.28	83.20	141.15	118.93	131.89	146.75	127.61	137.65	141.24	155.40	158.86
FBgn0044452	6623.00	5232.41	5173.64	4829.47	4037.91	4067.54	4293.40	4135.52	3764.38	3835.88	3698.89	3673.79
FBgn0015577	6923.00	6728.21	7179.81	5816.36	6365.88	5941.99	5759.10	6072.34	5228.64	5824.43	5712.49	5410.28
FBgn0033728	4386.00	5060.66	4860.76	10591.00	9550.70	10757.68	5644.87	6299.66	6492.41	7506.97	7727.18	8321.74
FBgn0039152	8562.00	6513.53	7006.38	2505.72	2947.90	2982.09	5473.52	5315.96	4601.24	2716.05	2415.22	2491.82
FBgn0031256	2276.00	1773.15	1665.17	1516.50	1467.39	1441.44	1492.94	1240.26	1243.82	1389.97	1282.57	1289.87
FBgn0003447	5500.00	5833.51	6167.35	6651.60	6559.73	6217.44	5120.27	4772.27	4555.36	5442.19	5685.13	5880.87
FBgn0031970	2438.00	1780.11	2267.49	328.96	403.60	361.82	1314.56	796.26	1362.52	437.17	346.91	365.68
FBgn0037146	60401.00	34644.82	46043.60	28496.20	26134.02	29768.33	29215.53	29213.19	20429.78	23400.86	21175.61	18336.99
FBgn0039084	2647.00	3336.25	2962.39	2117.27	2641.68	2859.53	2316.29	1653.68	1798.40	1936.99	1790.35	1746.48
FBgn0035873	164.00	149.70	126.56	286.97	304.34	348.98	83.48	74.44	94.76	219.71	188.23	294.74
FBgn0000241	2890.00	2326.67	2200.70	2469.56	2641.68	2487.21	1793.46	1338.63	1700.65	2463.84	1898.69	2434.87
FBgn0039805	1596.00	1363.51	1503.46	1810.47	1533.88	2055.36	2359.35	2387.46	2388.89	1013.33	1142.50	735.36
FBgn0036731	49.00	63.82	90.23	37.33	47.76	73.53	118.63	146.23	146.63	80.71	95.21	92.92
FBgn0034887	1674.00	1695.40	1392.14	1273.86	1405.59	1294.38	1215.26	1004.97	1114.15	1224.07	940.04	1002.13
FBgn0263974	39.00	77.75	76.17	101.49	91.77	88.70	224.95	97.04	324.17	223.07	100.68	305.73
FBgn0038146	1652.00	1559.63	1080.43	885.40	1099.37	787.83	928.80	805.57	641.36	784.66	596.42	581.49
FBgn0064237	2428.00	2196.71	2924.89	851.57	1201.45	1275.70	1643.20	1048.84	953.56	1067.14	667.55	689.40
FBgn0016675	23.00	15.09	18.75	33.83	24.35	18.67	46.57	34.56	54.86	67.26	48.15	43.96
FBgn0261283	17771.00	15173.86	15309.98	15471.80	14221.64	15573.37	13137.67	13230.75	12761.38	13220.43	12506.20	13561.16
FBgn0038407	6350.00	5469.14	5167.78	6104.50	6329.36	5708.56	4623.80	3728.75	4068.60	6219.01	5272.56	5735.99
FBgn0022774	2550.00	2095.75	1865.56	1993.61	2006.78	1929.31	1646.71	1421.05	1314.64	1814.81	1393.10	1555.64
FBgn0035766	956.00	919.07	889.42	821.24	790.35	783.16	796.12	760.37	673.28	643.42	658.80	640.44
FBgn0051004	16.00	33.65	23.44	35.00	62.74	46.69	39.54	102.36	90.77	108.73	65.66	66.94
FBgn0010105	1392.00	1484.20	1503.46	1908.46	1982.43	1867.45	1647.59	1694.89	1771.47	2055.81	2116.47	2088.18
FBgn0053532	2.00	3.48	3.52	7.00	3.75	9.34	5.27	9.31	51.87	36.99	26.26	30.97
FBgn0036768	210.00	264.58	280.07	347.63	361.46	345.48	311.07	409.43	393.00	368.79	401.63	383.67
FBgn0033932	730.00	1024.67	985.51	1336.85	1315.69	1282.71	1167.81	1327.99	1447.30	1475.16	1569.29	1606.60
FBgn0031428	1466.00	1165.08	1204.64	1349.69	1298.84	1371.41	1024.58	941.16	848.83	1166.90	1002.42	1054.08
FBgn0001311	117.00	97.48	135.93	151.65	140.47	206.59	165.20	257.89	295.25	82.95	106.15	98.91
FBgn0024330	664.00	743.84	802.70	943.73	889.61	947.73	905.96	918.56	939.60	1027.91	941.14	998.13
FBgn0040496	38.00	58.02	57.42	125.99	101.13	122.55	92.27	79.76	125.68	75.10	79.89	72.94
FBgn0002174	2810.00	2047.01	2024.92	2054.27	2200.62	2312.14	1705.59	1605.82	1478.22	1827.14	1886.65	1677.54
FBgn0000592	18595.00	15334.00	13019.05	21148.18	17133.01	17287.92	11443.51	10518.93	9997.45	15597.96	14425.68	13176.50
FBgn0002578	2.00	6.96	14.06	8.17	26.22	32.68	5.27	99.70	163.58	192.80	78.79	49.96
FBgn0032895	746.00	826.23	704.27	947.23	998.24	982.75	910.35	902.61	1021.39	1054.81	1070.27	1097.04
FBgn0034049	1595.00	1343.78	1333.54	1564.33	1464.58	1524.31	1173.08	1161.83	1108.17	1319.35	1340.57	1305.86
FBgn0038819	160.00	95.16	151.17	122.49	128.29	129.55	194.20	253.90	289.26	121.06	112.72	92.92
FBgn0037718	4307.00	3600.83	3352.61	3113.49	2858.00	2930.73	3025.42	2895.26	2683.14	2884.19	2785.11	2670.67
FBgn0020389	2810.00	2109.67	2097.58	1843.13	1810.13	1910.64	1695.92	1834.46	1536.07	1513.28	1583.52	1520.67
FBgn0024957	7370.00	6060.96	6271.64	8152.94	8058.02	9282.40	4733.64	4560.90	3862.13	7356.77	5387.47	5116.53
FBgn0052091	2156.00	2243.12	2283.90	1784.80	2083.57	2098.55	1866.39	1710.84	1621.85	1474.04	1418.27	1652.56
FBgn0033354	77.00	68.47	58.59	76.99	56.19	64.19	102.81	102.36	126.68	107.61	101.77	102.91
FBgn0031824	726.00	630.12	757.00	683.59	744.47	738.81	508.78	429.37	392.00	808.20	524.19	558.51
FBgn0034487	367.00	89.35	393.74	438.62	85.22	264.94	77.33	85.08	83.79	73.98	61.28	68.94
FBgn0013998	2153.00	1765.02	1742.51	2106.77	1956.21	1847.61	1545.66	1430.35	1304.67	1718.41	1631.67	1678.53
FBgn0039040	5471.00	4915.61	5055.28	10593.34	11891.79	12712.67	4139.63	3446.93	4016.73	9825.09	8085.04	9309.87
FBgn0030886	111.00	129.97	158.20	384.96	383.00	333.81	190.68	220.67	187.52	436.05	378.64	396.65
FBgn0036605	7.00	10.44	9.37	12.83	16.86	15.17	19.33	31.90	37.90	6.73	10.94	10.99
FBgn0031305	4503.00	3528.89	3918.60	1930.62	2130.39	2487.21	2593.09	2346.25	2557.46	1959.41	1271.63	1970.28
FBgn0050035	27249.00	18097.00	19214.52	14284.26	13755.29	13739.77	15114.78	14693.00	15101.40	11114.18	11929.48	11665.82
FBgn0259985	9761.00	9681.52	9913.69	11470.57	12275.72	12297.16	10810.83	11666.13	12217.77	11890.99	12049.85	13065.59
FBgn0030694	771.00	816.95	793.33	967.06	1003.86	1024.76	912.11	961.10	930.62	1176.99	1115.14	1127.02
FBgn0036289	2856.00	2373.09	2169.06	2672.54	2487.17	2566.58	2040.38	1814.52	1729.58	1694.87	1718.12	1645.56
FBgn0036921	12041.00	12501.38	12378.06	13987.96	15794.85	14869.58	13735.20	15139.65	15821.56	15521.73	17036.79	16605.50
FBgn0052372	7031.00	6622.61	6616.16	9696.27	8952.32	9282.40	5607.08	5713.43	4669.07	5585.67	6439.14	6231.56
FBgn0037310	2.00	3.48	3.52	7.00	11.24	16.34	15.82	13.29	16.96	14.57	8.75	9.99
FBgn0029839	1236.00	1531.78	885.90	1298.36	1378.43	869.53	669.58	691.25	770.03	765.61	784.65	766.33
FBgn0039156	2879.00	2215.27	2164.37	2023.94	2088.25	2020.35	1906.81	1686.91	1640.81	2125.31	1896.50	1783.44
FBgn0039622	32.00	22.05	31.64	31.50	22.47	29.18	203.86	90.39	23.94	116.58	85.36	49.96
FBgn0015039	9420.00	8256.50	7159.89	7360.86	9355.92	7418.45	5932.21	4357.52	4933.39	6720.07	4476.97	6670.18
FBgn0261985	7368.00	7839.91	8271.96	8586.89	8277.15	8531.92	9118.43	8699.09	8892.27	9150.28	9211.12	9307.87
FBgn0051118	1834.00	2186.26	2096.41	2496.39	2567.70	2599.26	2307.51	2681.24	2928.51	2834.87	2776.36	2858.50
FBgn0019661	254.00	327.24	296.47	75627.86	72118.59	66660.99	403.33	377.53	400.98	82663.01	88863.16	88223.98
FBgn0032943	3300.00	3986.10	3669.00	4908.79	4816.08	4097.89	4449.81	4713.78	4798.73	5117.12	5168.60	5389.30
FBgn0023529	7369.00	7093.75	6741.55	6796.25	6231.97	5932.66	6123.77	5977.96	5678.49	6050.86	6494.95	6171.61
FBgn0017482	1005.00	592.98	636.30	405.96	361.46	405.00	475.38	454.63	333.15	405.78	329.40	325.72
FBgn0031627	6151.00	7004.39	7097.78	8816.70	8995.39	8877.39	7788.05	8705.73	8228.97	9517.95	10732.26	9936.33
FBgn0016031	5275.00	4697.45	4287.73	5298.42	4979.02	4830.86	3893.59	3962.71	3765.38	4297.71	4369.73	4407.15
FBgn0035488	1873.00	2059.77	2044.85	2538.39	2626.70	2572.41	2219.63	2330.30	2394.88	2647.67	2777.45	2802.55
FBgn0039009	156.00	155.50	159.37	188.98	212.57	217.09	196.83	212.69	243.38	227.55	246.23	232.80
FBgn0052343	668.00	616.19	664.43	715.09	687.34	781.99	821.60	808.23	751.08	870.97	832.80	851.26
FBgn0031688	254.00	287.79	253.12	229.81	214.44	184.41	365.55	327.01	375.04	306.02	261.55	291.75
FBgn0031630	1218.00	919.07	771.07	1311.19	1042.25	1050.44	609.83	680.61	650.34	558.23	595.32	599.48
FBgn0037135	16796.00	13181.39	12731.95	9926.08	9619.06	10238.30	11590.26	10461.77	9127.67	8703.02	9053.53	8343.72
FBgn0019949	968.00	892.38	921.06	1005.56	1020.71	1036.44	1082.58	1079.41	1077.25	1115.34	1050.57	1049.08
FBgn0029092	14580.00	13712.87	12934.68	12918.25	13087.61	13178.37	12521.69	11458.76	11288.15	11758.72	11174.38	11315.12
FBgn0067783	827.00	829.71	737.08	740.75	771.62	772.66	699.46	614.15	584.51	664.72	717.89	663.42
FBgn0031260	4950.00	3427.93	3735.80	2447.40	2387.91	2500.05	3020.14	2711.82	2972.40	2461.60	2344.09	2566.76
FBgn0031057	6623.00	6427.66	6448.59	7271.03	6853.77	6874.55	5866.30	5755.97	5090.99	6170.81	6224.65	6132.65
FBgn0039675	10.00	17.41	16.41	25.66	17.79	18.67	29.88	26.59	47.88	34.75	28.45	31.97
FBgn0032285	81595.00	55283.18	67677.96	53426.30	46702.81	50340.63	45958.57	27757.58	41146.83	52723.67	32073.12	42802.63
FBgn0039616	10.00	9.28	7.03	7.00	13.11	11.67	33.39	41.21	12.97	28.02	24.08	13.99
FBgn0003060	54.00	33.65	29.30	11.67	5.62	5.84	14.06	5.32	11.97	14.57	9.85	7.99
FBgn0050147	1826.00	2243.12	2213.59	2690.04	2496.54	2536.23	2443.71	2718.46	2838.74	2777.70	2693.19	2892.47
FBgn0050466	250.00	262.26	247.26	333.63	228.49	236.93	406.85	381.52	327.16	425.96	427.89	383.67
FBgn0050118	20488.00	20027.97	19052.81	22369.54	21797.39	21013.49	21537.31	22894.92	22839.62	23858.20	24264.95	25074.11
FBgn0264561	4359.00	3549.77	3495.57	4245.03	3744.80	3751.24	3100.11	2989.65	2662.20	3430.09	3250.21	3310.11
FBgn0027562	4474.00	4365.56	4505.69	5157.27	5925.76	6938.75	3035.96	3357.87	3682.59	3975.99	4204.48	4329.22
FBgn0032013	1366.00	1544.54	1558.54	1885.13	1988.05	2042.52	1729.31	1960.75	2028.81	1925.78	2277.34	2235.05
FBgn0038113	439.00	521.04	392.56	509.78	737.91	582.41	326.00	240.61	280.28	410.27	287.81	340.70
FBgn0031690	155.00	182.19	201.56	156.32	206.95	234.60	369.94	313.72	238.39	383.36	345.81	261.77
FBgn0036806	2184.00	1457.51	1886.65	930.90	919.58	992.08	1388.37	1050.16	931.62	946.08	674.12	724.37
FBgn0051217	5723.00	4429.38	4754.12	4011.73	3787.88	3899.47	4032.42	3537.33	3459.16	3916.58	3119.98	3520.93
FBgn0029746	227.00	204.24	222.65	249.64	205.08	277.78	286.46	320.37	321.18	350.86	388.49	308.73
FBgn0034959	5192.00	5020.05	5022.47	5962.18	6013.78	6268.80	5730.98	5782.55	6524.32	6483.55	6208.23	6919.96
FBgn0264272	2780.00	3069.35	3037.39	3653.60	3562.20	3508.47	3346.15	3493.46	3464.15	3425.61	3662.78	3781.70
FBgn0027580	29393.00	24502.61	25290.47	26290.28	23057.83	24918.80	20336.11	19533.06	16416.04	22055.72	16777.43	16432.65
FBgn0003731	5223.00	4821.61	4887.71	4064.22	3761.66	3655.53	4155.44	3812.50	2967.42	3458.12	3153.91	2893.47
FBgn0260874	218.00	200.76	235.54	198.31	147.02	189.08	284.70	289.79	357.09	314.99	331.59	364.68
FBgn0035791	1650.00	1546.86	1528.07	922.73	817.51	875.37	1296.11	1098.02	1191.95	788.02	647.85	850.26
FBgn0030941	2233.00	2188.58	2252.26	2628.21	2419.75	2458.03	2014.89	1924.86	1767.48	2025.55	2073.79	1980.27
FBgn0004959	107.00	112.56	97.26	87.49	162.94	157.57	63.27	59.82	47.88	84.07	116.00	105.91
FBgn0034484	873.00	755.44	798.02	578.60	641.46	673.45	666.07	662.00	643.36	631.09	668.65	656.43
FBgn0030593	25174.00	17167.49	17439.20	28906.83	21423.76	22348.72	15234.29	11687.40	10906.12	12590.46	10153.35	10314.00
FBgn0038765	153.00	161.30	155.85	180.81	177.92	201.92	210.89	200.73	210.46	239.88	237.47	229.80
FBgn0026562	18752.00	13289.31	12209.31	12922.91	12595.98	12366.03	10737.90	10338.14	10252.79	9241.08	9711.23	10082.20
FBgn0053965	47.00	73.11	64.45	58.33	103.94	92.21	23.73	31.90	33.91	76.22	100.68	100.91
FBgn0039594	16279.00	16340.10	15886.52	21203.00	20942.43	21348.46	15385.43	14401.88	14947.79	18466.46	18190.23	18277.04
FBgn0027548	1752.00	1668.71	1756.58	1788.30	1738.96	1693.54	1533.36	1553.98	1431.34	1724.01	1808.96	1735.48
FBgn0035002	1339.00	1546.86	1345.26	1566.66	1576.96	1573.33	1814.55	1673.62	1649.78	2069.27	1924.96	1840.39
FBgn0033423	81.00	145.05	139.45	293.97	172.30	190.25	249.56	257.89	197.50	272.39	321.74	238.79
FBgn0028938	87.00	182.19	187.49	152.82	206.95	164.57	297.01	237.95	313.20	230.91	210.11	237.79
FBgn0025621	1487.00	1006.10	1131.99	941.40	893.36	803.00	921.77	849.44	772.03	822.77	820.76	816.29
FBgn0029147	489.00	532.64	418.34	444.45	470.09	493.71	394.54	369.55	322.18	317.23	317.36	329.71
FBgn0038745	10419.00	9188.33	9245.75	9237.82	8730.38	8915.91	8528.81	8389.35	7926.74	8037.18	8227.30	8152.88
FBgn0030159	2703.00	2077.18	1958.13	2195.43	2175.34	2579.42	1314.56	1777.30	1401.42	1142.24	1470.80	1501.69
FBgn0033327	50.00	142.73	185.15	55.99	207.89	193.75	36.03	15.95	1.00	26.90	40.49	1.00
FBgn0032080	1.00	3.48	1.17	4.67	2.81	2.33	70.30	5.32	6.98	60.53	4.38	3.00
FBgn0011591	1721.00	1741.81	1714.39	2371.57	2254.94	2397.34	1871.66	2004.62	2045.77	2368.56	2258.73	2275.01
FBgn0004795	2639.00	2752.55	2695.21	3093.66	3120.20	3089.46	3134.38	3161.13	2864.68	3563.49	3732.82	3639.82
FBgn0031043	1325.00	1423.86	1553.85	1528.17	1694.01	1761.24	1786.43	1647.03	1801.40	1842.83	1846.16	1865.37
FBgn0037144	692.00	543.08	523.81	311.47	369.89	330.31	448.14	445.32	372.05	307.14	294.38	302.74
FBgn0002021	1396.00	1096.61	1135.50	1104.71	1283.85	1261.70	992.07	872.04	850.83	1085.08	966.31	955.17
FBgn0038747	2435.00	2406.74	2278.04	2445.06	2434.73	2480.21	2178.34	2061.78	1918.10	2239.65	2329.86	2342.95
FBgn0029898	6876.00	4709.05	6527.10	5513.06	5048.32	5437.78	4533.29	3897.57	4406.74	5112.63	4334.71	4442.12
FBgn0025687	2880.00	1790.55	2106.95	1114.04	1023.52	1150.82	1215.26	1624.43	1164.02	1321.59	921.44	914.20
FBgn0030502	3117.00	2753.71	2977.62	2426.40	2401.96	2279.46	2651.08	2281.12	2135.54	2415.64	2220.43	2227.06
FBgn0026749	1715.00	2000.59	2026.10	2232.75	2341.09	2386.84	2236.33	2261.18	2381.91	2464.96	2336.43	2449.86
FBgn0010621	4001.00	2576.17	2800.68	1909.62	1943.10	2030.85	2428.77	2009.94	1802.39	1852.92	1825.37	1774.45
FBgn0035811	22253.00	13372.87	13136.23	8528.56	7445.59	6175.43	10044.59	10580.08	8042.44	6611.34	7546.62	6405.41
FBgn0011336	4861.00	4153.20	3976.02	3910.24	3712.96	3678.88	3754.75	3423.00	3334.48	3644.19	3459.23	3412.02
FBgn0032753	2039.00	1633.89	1825.71	1633.15	1824.18	1947.98	1512.27	1201.71	1361.52	1537.94	1301.18	1485.70
FBgn0032005	4621.00	3909.51	4109.61	3834.41	3737.31	3860.95	3548.25	3598.48	3630.72	3742.84	3632.14	3834.65
FBgn0040849	24.00	31.33	41.01	29.16	20.60	24.51	99.29	58.49	49.87	88.55	51.43	46.96
FBgn0085359	2332.00	2935.90	2715.13	1444.17	1524.52	1701.71	2262.69	1790.60	1801.40	1082.83	989.29	1143.00
FBgn0039312	169.00	175.23	206.24	313.80	345.54	438.85	98.42	128.94	139.64	216.34	222.15	215.81
FBgn0039593	238.00	287.79	183.98	227.48	236.92	316.30	410.36	315.05	475.78	264.54	201.36	239.79
FBgn0032715	1229.00	939.95	939.81	869.07	867.14	905.71	803.15	735.12	709.19	961.77	763.85	767.33
FBgn0015575	18341.00	13536.49	13875.66	14073.12	12684.01	13453.82	12039.28	9476.74	9381.02	11781.14	8530.43	9138.02
FBgn0031945	189.00	356.25	364.44	428.12	485.07	392.16	475.38	521.09	514.68	557.11	572.34	510.55
FBgn0036732	3145.00	3455.78	3250.66	2929.18	3016.26	2944.74	2660.75	2346.25	1768.48	2848.32	2289.37	2070.19
FBgn0032023	1594.00	1919.36	1876.10	2144.10	2279.28	2259.62	2062.34	2222.63	2210.35	2403.31	2430.54	2425.88
FBgn0032857	3341.00	2653.92	2504.20	3687.43	3636.18	3689.38	2151.97	2168.12	2178.43	2481.77	2688.81	3009.37
FBgn0260812	4.00	18.57	9.37	17.50	13.11	17.51	30.76	29.25	26.93	15.69	22.98	16.99
FBgn0033378	802.00	829.71	795.67	786.25	837.17	774.99	700.34	704.54	637.37	825.02	771.51	768.33
FBgn0036278	1311.00	1119.82	1144.88	1198.04	1208.00	1192.83	1030.73	986.36	944.59	1078.35	1167.67	1073.06
FBgn0030321	3193.00	2348.72	2424.52	1902.62	1900.03	1852.28	2130.88	1887.64	1511.14	1857.41	1671.07	1592.61
FBgn0030087	16136.00	14145.72	13931.90	11918.52	11247.52	11588.70	13184.24	12298.89	11517.56	11355.18	11408.57	11122.29
FBgn0037410	350.00	153.18	188.66	471.28	317.45	430.68	54.48	127.61	138.65	97.52	159.77	159.86
FBgn0010225	42240.00	28090.68	30612.93	29479.60	27440.35	29878.04	25647.94	21334.29	19141.08	27052.90	19888.66	21386.33
FBgn0036909	372.00	399.19	423.03	374.46	383.00	366.49	463.96	477.23	538.62	475.28	462.91	457.60
FBgn0041780	8.00	3.48	12.89	4.67	6.56	11.67	33.39	42.54	12.97	35.87	32.83	8.99
FBgn0035159	56.00	110.24	108.98	160.98	133.91	145.89	135.32	159.52	189.52	189.44	167.44	192.83
FBgn0030657	456.00	526.84	522.64	453.78	508.48	526.39	607.19	604.84	705.20	600.83	562.49	612.47
FBgn0039024	5761.00	4104.46	3980.71	4932.12	4982.77	5085.30	3661.61	2633.39	2669.18	4403.07	3156.10	3506.94
FBgn0032001	3682.00	2556.44	2696.38	1972.62	1929.99	2146.40	2230.18	1845.10	2173.44	2046.85	1676.54	1851.38
FBgn0038144	37.00	40.62	48.05	44.33	30.90	46.69	61.51	73.11	79.80	52.68	61.28	49.96
FBgn0039564	1271.00	874.97	873.01	639.26	757.58	738.81	753.06	663.33	601.46	670.33	537.32	572.50
