gene	M1F	M2F	M3F	M1M	M2M	M3M	E1F	E2F	E3F	E1M	E2M	E3M
FBgn0024993	234.00	169.42	193.35	228.64	237.85	236.93	203.86	188.76	208.47	220.83	256.08	236.79
FBgn0031037	16085.00	12298.30	12447.19	9983.24	11634.27	12440.72	12497.09	13411.53	15074.47	10016.77	10957.70	12072.46
FBgn0250822	10.00	6.96	12.89	8.17	12.17	22.18	10.54	5.32	14.96	10.09	7.66	17.98
FBgn0039128	15.00	9.28	15.23	14.00	8.43	11.67	12.30	15.95	10.97	7.85	12.04	12.99
FBgn0011509	1246.00	1065.28	1161.29	821.24	892.42	965.24	1172.21	1199.05	1109.16	1054.81	1010.08	1076.06
FBgn0030459	1.00	4.64	5.86	3.50	5.62	9.34	2.64	6.65	3.99	4.48	6.57	5.99
FBgn0003124	111.00	185.67	169.92	151.65	170.43	151.73	145.87	154.20	166.57	149.09	214.49	182.84
FBgn0036988	1013.00	1032.79	1023.01	1144.37	1060.98	1058.61	1005.25	1068.78	992.46	1118.70	998.04	1058.08
FBgn0083001	13.00	8.12	24.61	3.50	5.62	4.67	14.06	7.98	14.96	12.33	8.75	11.99
FBgn0003942	60918.00	45438.04	45089.73	24889.27	25044.95	28633.85	54685.09	49313.87	45318.17	35150.61	30038.73	30079.74
FBgn0041224	4.00	4.64	9.37	8.17	10.30	9.34	5.27	2.66	9.97	17.94	8.75	7.99
FBgn0033603	239.00	241.37	234.37	220.48	251.90	250.94	251.31	218.01	242.38	206.25	152.11	189.83
FBgn0028897	227.00	149.70	148.82	180.81	193.84	166.90	199.47	159.52	168.57	195.04	221.06	194.83
FBgn0001254	4.00	5.80	3.52	2.33	5.62	4.67	6.15	2.66	3.99	3.36	2.19	5.99
FBgn0002533	8.00	10.44	15.23	16.33	17.79	17.51	13.18	7.98	12.97	11.21	16.42	14.99
FBgn0035823	3.00	3.48	9.37	5.83	11.24	59.52	10.54	6.65	19.95	11.21	4.38	5.00
FBgn0038132	93.00	55.70	26.95	83.99	70.23	52.52	54.48	55.83	76.80	50.44	38.30	58.95
FBgn0050285	1693.00	1310.13	1075.74	1368.35	1353.15	1428.60	1200.33	1224.31	1634.82	1246.49	1250.84	1515.68
FBgn0035421	1030.00	997.98	918.72	934.40	1090.95	1030.60	1001.74	993.00	961.54	1043.60	1049.48	1060.07
FBgn0013276	115.00	84.71	59.76	145.82	151.70	128.39	95.78	107.68	70.82	73.98	132.42	97.91
FBgn0024841	2211.00	1979.70	1869.07	1756.81	1911.26	1980.66	2062.34	1825.16	2185.41	2086.08	1830.84	2072.19
FBgn0033767	297.00	261.10	319.91	342.96	349.29	354.82	265.37	288.46	322.18	382.24	373.17	388.66
FBgn0032620	158.00	104.44	134.76	108.49	129.23	107.38	130.93	138.25	125.68	131.15	138.98	140.88
FBgn0036099	1595.00	1103.57	984.34	1243.53	1221.11	1126.31	1135.30	1322.68	1194.95	1268.91	1546.31	1264.90
FBgn0033869	51.00	78.91	63.28	47.83	42.14	59.52	45.69	63.81	83.79	42.60	49.25	55.95
FBgn0031971	4257.00	2701.50	2976.45	2146.43	2135.07	2156.91	3468.29	3449.59	2961.43	2740.71	3003.98	2251.03
FBgn0010323	82.00	77.75	83.20	95.66	91.77	94.54	68.54	78.43	95.76	102.01	90.83	85.92
FBgn0032000	1469.00	1138.39	1080.43	1216.70	1274.49	1139.14	1275.89	1230.95	1166.02	1368.67	1280.39	1191.96
FBgn0029854	2531.00	2154.93	2377.65	1520.00	1927.18	2088.04	2575.51	2234.59	2245.26	2512.04	2193.07	2239.05
FBgn0031117	756.00	697.42	810.91	481.78	582.46	512.38	807.54	711.19	740.11	742.07	654.42	608.47
FBgn0051278	215.00	258.78	253.12	218.14	285.61	233.43	260.98	219.34	239.39	269.03	234.19	256.78
FBgn0014024	2515.00	2233.84	2204.22	2266.58	2151.93	2083.37	2318.05	2375.50	2247.26	2508.68	2522.47	2441.87
FBgn0085350	25.00	67.31	59.76	102.66	93.64	84.04	62.39	54.50	43.89	73.98	70.04	57.95
FBgn0035143	1.00	4.64	1.17	5.83	2.81	31.51	1.76	2.66	11.97	7.85	4.38	4.00
FBgn0036334	2053.00	1559.63	1597.21	1459.34	1551.67	1481.12	1762.70	1641.71	1814.36	1721.77	1543.03	1705.51
FBgn0036502	1405.00	1419.21	1389.79	1558.50	1605.99	1608.34	1377.83	1435.67	1399.42	1558.11	1603.22	1486.70
FBgn0085193	29.00	22.05	29.30	21.00	24.35	24.51	27.24	29.25	24.94	20.18	13.13	16.99
FBgn0002716	37.00	32.49	48.05	29.16	37.46	18.67	34.27	53.17	26.93	33.63	39.40	31.97
FBgn0052260	179.00	181.03	188.66	204.14	173.24	185.58	188.92	162.18	197.50	232.04	164.15	184.84
FBgn0029003	1249.00	936.47	1013.63	1061.55	1003.86	1041.10	1047.43	1108.65	1056.30	1086.20	1121.71	1062.07
FBgn0083953	1253.00	826.23	819.11	785.08	829.68	882.37	940.23	923.88	1034.36	1004.37	943.33	1023.11
FBgn0064227	19.00	71.95	62.11	111.99	93.64	108.55	65.90	57.16	43.89	59.41	78.79	50.96
FBgn0034459	7.00	4.64	10.55	9.33	9.36	80.53	12.30	5.32	26.93	19.06	6.57	7.99
FBgn0000405	68.00	73.11	148.82	38.50	65.55	101.54	83.48	102.36	91.77	85.19	72.23	80.93
FBgn0262516	2.00	1.16	2.34	1.17	4.68	4.67	1.76	5.32	1.00	2.24	2.19	3.00
FBgn0038471	911.00	761.25	717.16	767.58	864.33	822.85	806.66	789.62	788.98	864.25	836.08	827.28
FBgn0261800	1499.00	1709.32	1641.74	2240.92	1916.88	1859.28	1554.45	1652.35	1672.72	1344.01	1406.24	1505.69
FBgn0038261	46.00	63.82	36.33	31.50	60.87	32.68	37.78	62.48	46.88	42.60	43.77	47.96
FBgn0003022	74.00	70.79	43.36	78.16	44.01	58.36	65.02	55.83	64.83	72.86	59.09	58.95
FBgn0036655	9.00	11.60	7.03	9.33	11.24	17.51	11.42	6.65	8.98	19.06	9.85	12.99
FBgn0004655	2841.00	3430.25	3288.16	4226.37	3648.35	3683.55	3180.95	3347.23	3017.29	3552.28	3853.20	3612.85
FBgn0041706	630.00	574.42	569.51	698.76	701.39	696.79	550.95	567.62	661.31	721.89	748.53	782.32
FBgn0032979	4224.00	4020.91	3701.82	4126.05	4032.29	4170.25	3948.95	3991.95	4028.70	4190.09	4424.44	4395.16
